JGGL-0100|机构管理|機構管理|Organ Manager      
JGGL-0101|机构信息管理|機構資訊管理|Organ Information Manager
JGGL-0102|机构新增|機構新增|Create Organ
JGGL-0103|信息维护|資訊維護|Infomation Maintenance
JGGL-0104|机构撤销|機構撤銷|Remove Organ
JGGL-0105|机构合并|機構合併|Unite Organ
JGGL-0106|主管机构变更|主管機構變更|Director Change
JGGL-0107|已撤销机构维护|已撤銷機構維護|Removed Organ Manager
JGGL-0108|查询统计|查詢統計|Query And Count
JGGL-0109|查询|查詢|Query
JGGL-0110|统计|統計|Count
JGGL-0111|机构档案浏览|機構檔案流覽|Organ Archives Browser 
JGGL-0113|部门隶属关系|部門隸屬關係|Department Connection 
JGGL-0114|机构排序|機構排序|Organ Compositor  
JGGL-0115|机构组织图|機構組織圖|Organ Chart
JGGL-0116|机构数据导入|機構資料導入|Organ Data Import 
JGGL-0118|隶属关系|隸屬關係|Organ Hypotaxis 
JGGL-0134|党费信息|黨費信息|Party Fee
JGGL-0135|确认党费|確認黨費|Confirm Party Fee 
JGGL-0140|机构模板管理|機構範本管理|Organ Templet 
JGGL-0141|快速建立分支机构|快速建立分支機搆|Create Branch Organ
JGGL-0150|机构变更|機構變更|Organ Change
JGGL-0895|机构隶属设置|機構隸屬設置|Organ Hypotaxis Set
JGGL-1000|机构基本信息|機構基本資訊|Organ Infomation
JGGL-1001|机构代码|機構代碼|Organ Code
JGGL-1002|机构名称|機構名稱|Organ Name
JGGL-1003|机构类别|機構類別|Organ Type
JGGL-1004|主管机构|主管機構|Director Organ  
JGGL-1005|机构设立信息|機構設立資訊|Organ Found Information
JGGL-1006|机构设立时间|機構設立時間|Organ Found Time
JGGL-1007|机构设立类别|機構設立類別|Organ Found Type
JGGL-1008|批准设立文号|批准設立文號|Organ Found Number  
JGGL-1009|批准设立单位|批准設立單位|Authorization Unit
JGGL-1010|备注|備註|Remark
JGGL-1011|被合并机构|被合併機構|Incorporate Organ
JGGL-1012|合并机构|合併機構|Incorporate Organ
JGGL-1013|机构合并信息|機構合併資訊|Incorporate Organ Information
JGGL-1014|变动类别|變動類別|Change Type
JGGL-1015|变动时间|變動時間|Change Time
JGGL-1016|变动事项及原因|變動事項及原因|Change Item And Reason 
JGGL-1017|批准文号|批准文號|Approve Number
JGGL-1018|批准单位|批准單位|Approve Unit
JGGL-1019|选择联动简历人员|選擇聯動簡歷人員|Select Linkage Resume
JGGL-1020|查看选择人员|查看選擇人員|Browser Select Personnel
JGGL-1024|所属机构|所屬機構|Organ
JGGL-1025|所属部门|所屬部門|Department
JGGL-1025|无下级机构|無下級機構|Not Child Organ
JGGL-1026|移至顶部|移至頂部|Move Top
JGGL-1027|上移|上移|Up
JGGL-1028|下移|下移|Down
JGGL-1029|移至底部|移至底部|Move Bottom
JGGL-1030|每次移动位数|每次移動位數|Move Step
JGGL-1031|选择模板|選擇範本|Select Templete
JGGL-1032|显示虚拟组织|顯示虛擬組織|Dummy Organise
JGGL-1033|显示虚拟组织下级|顯示虛擬組織下級| Dummy Organise Child
JGGL-1034|显示级数|顯示級數|Progression
JGGL-1035|显示模式|顯示模式|Module
JGGL-1036|是|是|YES
JGGL-1037|否|否|NO
JGGL-1038|纵向|縱向|Portrait  
JGGL-1039|横向|橫向|Horizontal
JGGL-1040|设置|設置|Set
JGGL-1041|导出WORD|導出WORD|Export WOrd 
JGGL-1042|导出PDF|導出PDF| Export PDF 
JGGL-1043|打印|列印|Print
JGGL-1044|机构撤销|機構撤銷|Organ Cancel
JGGL-1045|原机构|原機構|Quondam Organ
JGGL-1046|机构变动信息|機構變動資訊|Oran Change Information 
JGGL-1047|原主管机构|原主管機構|Quondam Director Organ  
JGGL-1048|新的主管机构|新的主管機構|New Director Organ   
JGGL-1049|增加人员|增加人員|Add User 
JGGL-1050|变更上级主管后,系统将为以下人员简历子集增加工作变动情况.|變更上級主管後,系統將為以下人員簡歷子集增加工作變動情況.|System will change the resume infromation for the underside person.    
JGGL-1051|本级部门|本級部門|Respective Level Department 
JGGL-1052|上级隶属关系部门|上級隸屬關係部門|Superior Department
JGGL-1053|本级部门所属机构|本級部門所屬機構|Department Of Organ
