RYGL-0300|人员管理|人員管理|Employee Manager
RYGL-0301|信息联动|信息聯動|Information Linkage
RYGL-0302|集团人事管理|集團人事管理|Human Manager
RYGL-0306|单位内部部门调动|單位內部部門調動|Department Redeploy Inside
RYGL-0311|信息维护|資訊維護|Information Maintenance
RYGL-0312|人员信息管理|人員資訊管理|Employee Info Manager
RYGL-031401|审批工人调转介绍信|審批工人調轉介紹信|Examine Worker Recommendation
RYGL-031402|审批干部调转介绍信|審批幹部調轉介紹信|Examine Leader Recommendation
RYGL-0315|批量处理|批量處理|Batch Deal
RYGL-0316|批量增加|批量增加|Batch Add
RYGL-0317|批量修改|批量修改|Batch Update
RYGL-0318|信息导入|信息導入|Information Import
RYGL-0319|人员部门内排序|人員部門內排序|Employee Compositor Inside
RYGL-0325|生成姓名简拼|生成姓名簡拼|Name Spelling
RYGL-0326|更新年龄工龄等参数|更新年齡工齡等參數|Update Length Of service And Age
RYGL-0327|跨单位兼职管理|跨單位兼職管理|Sideline Manager
RYGL-0328|批量导入照片|批量導入照片|Batch Import Photo
RYGL-0330|后备人才|後備人才|Reserve Personnel
RYGL-0331|后备人才信息维护|後備人才資訊維護|Reserve Personnel Maintenance
RYGL-0332|后备人才管理|後備人才管理|Reserve Personnel Manager
RYGL-0336|项目团队管理|專案團隊管理|Project Group Manager
RYGL-0350|统一招工|統一招工|Unification Recruit
RYGL-0362|干部引进|幹部引進|Lead Fetch
RYGL-0368|离职人员信息|離職人員資訊|Dimission Information
RYGL-0370|机构人员基数核算|機構人員基數核算|Cardinal Number Audit 
RYGL-037001|修改计算规则|修改計算規則|Calculate Ruler
RYGL-0379|备用|備用|Standby
RYGL-0380|人员变动情况|人員變動情況|Personnel Change
RYGL-0384|集团人员核查|集團人員核查|Bloc Personnel Check
RYGL-0390|人员信息对比|人員資訊對比|Personnel Contrast
RYGL-0393|二维分析|二維分析|Planar Analyse
RYGL-0394|人力资源状况分析|人力資源狀況分析|Human Resource Analyse
RYGL-0395|分类别统计情况|分類別統計情況|Classify Statistics 
RYGL-0396|备用|備用|Standby
RYGL-0397|备用|備用|Standby
RYGL-0398|备用|備用|Standby
RYGL-0399|备用|備用|Standby
RYGL-066301|基层工人调转介绍信|基層工人調轉介紹信|Basic Worker Recommendation
RYGL-066302|基层干部调转介绍信|基層幹部調轉介紹信|Basic Leader Recommendation
RYGL-0830|信息检查|資訊檢查|Information Check
RYGL-0986|员工信息审核|員工資訊審核|Employee Informatin Examine 
RYGL-0987|工资性费用与员工类别|工資性費用與員工類別|Wage And Employee Classify
RYGL-0988|职务级别对应|職務級別對應|Duty Level
RYGL-0989|工人岗次对应|工人崗次對應|Employee Post
RYGL-1300|人员档案浏览|人員檔案流覽|Personnel Archives Browser
RYGL-1301|管理人员|管理人員|Manager Personnel
RYGL-1302|工程技术人员|工程技術人員|Engine Technic Personnel
RYGL-1303|行政管理人员|行政管理人員|Administration Manage Personnel
RYGL-1304|中级管理人员|中級管理人員|Intermediate Manage Personnel
RYGL-1305|一般管理人员|一般管理人員|Common Manage Personnel
RYGL-1307|专业技术人员|專業技術人員|Speciality Technic Personnel
RYGL-1308|生产人员|生產人員|Produce Personnel
RYGL-1309|工勤人员|工勤人員|Logistics Personnel
RYGL-1310|服务人员|服務人員|Service Personnel
RYGL-1311|人员查询统计|人員查詢統計|Query Or Count Personnel
RYGL-1312|人员查询|人員查詢|Query
RYGL-1313|人员统计|人員統計|Count
RYGL-1315|人员增减变化查询|人員增減變化查詢|Personnel Degression Query
RYGL-1316|人员内部调配查询|人員內部調配查詢|Personnel Admeasure Query
RYGL-1317|信息校验与审核|信息校驗與審核|Information Checkout And Audit
RYGL-1321|按条件显示人员名单|按條件顯示人員名單|Show Name By Condition
RYGL-1322|按机构显示人员名单|按機構顯示人員名單|Show Name By Organ
RYGL-1330|出国管理|出國管理|Go Abroad Manager
RYGL-1331|护照管理|護照管理|Passport Manager
RYGL-1332|出访计划管理|出訪計畫管理|Visit Arranged Manager
RYGL-1333|出访任务管理|出訪任務管理|Visit Task Manager
RYGL-1334|部门出访计划|部門出訪計畫|DepartMent Vist Arranged
RYGL-1000|浏览方式|流覽方式|Browser Type
RYGL-1001|姓名或员工编号|姓名或員工編號|Name Or Employee ID
RYGL-1002|信息审核－修改信息 |資訊審核－修改資訊|Information Audit -Amend Information
RYGL-1003|信息审核－新增信息 |資訊審核－新增資訊|Information Audit -Add Information
RYGL-1004|数据对比|資料對比|Data Contrast
RYGL-1005|选择需要对比的指标集|選擇需要對比的指標集|Select The Contrast Item You Need
